Strategy,Symbol,Interval,Total Trades,Win Rate %,Profit Factor,Total PnL %,Sharpe Ratio,Max Drawdown %,Avg Trade Duration (min),Status,Error
chande-momentum-crypto,AAVEUSDT,12h,58,56.90,0.93,-2.72,-0.47,20.00,19365.52,success,
chande-momentum-crypto,AAVEUSDT,1d,25,56.00,0.58,-10.09,-3.44,14.24,35078.40,success,
chande-momentum-crypto,ETCUSDT,4h,195,55.38,1.23,9.68,0.96,7.83,6561.23,success,
chande-momentum-crypto,ETCUSDT,6h,132,56.82,1.28,10.74,1.59,12.40,11116.36,success,
chande-momentum-crypto,ETCUSDT,8h,84,59.52,1.13,3.41,0.92,9.13,15571.43,success,
chande-momentum-crypto,ETCUSDT,12h,63,63.49,1.39,8.15,1.92,6.82,18594.29,success,
chande-momentum-crypto,ETCUSDT,1d,25,36.00,0.46,-12.13,-5.05,15.88,58176.00,success,
chande-momentum-crypto,BCHUSDT,4h,170,50.59,1.06,1.54,-0.07,10.63,6681.88,success,
chande-momentum-crypto,BCHUSDT,6h,131,51.91,1.05,1.15,0.02,14.00,11591.45,success,
chande-momentum-crypto,BCHUSDT,8h,90,57.78,1.17,4.79,1.21,11.40,15402.67,success,
chande-momentum-crypto,BCHUSDT,12h,48,60.42,1.63,10.99,3.10,7.54,25515.00,success,
chande-momentum-crypto,BCHUSDT,1d,23,43.48,1.11,1.24,0.76,6.68,52403.48,success,
chande-momentum-crypto,DOGEUSDT,4h,178,47.75,0.85,-9.27,-1.06,19.58,6509.66,success,
chande-momentum-crypto,DOGEUSDT,6h,117,61.54,1.79,29.23,3.75,6.75,8018.46,success,
chande-momentum-crypto,DOGEUSDT,8h,96,54.17,0.93,-4.13,-0.37,15.01,15520.00,success,
chande-momentum-crypto,DOGEUSDT,12h,64,56.25,0.97,-1.40,-0.30,11.74,20790.00,success,
chande-momentum-crypto,DOGEUSDT,1d,27,51.85,0.80,-5.08,-1.28,18.36,49333.33,success,
rsi-oversold-bounce,BTCUSDT,4h,5,20.00,0.19,-0.50,-8.47,0.50,1584.00,success,
rsi-oversold-bounce,BTCUSDT,6h,6,50.00,1.51,0.26,3.72,0.40,1440.00,success,
rsi-oversold-bounce,BTCUSDT,8h,5,80.00,7.55,1.40,15.72,0.22,3744.00,success,
rsi-oversold-bounce,BTCUSDT,12h,6,83.33,12.46,2.25,16.43,0.20,3600.00,success,
rsi-oversold-bounce,BTCUSDT,1d,1,100.00,Infinity,0.66,0.00,0.00,1440.00,success,
rsi-oversold-bounce,ETHUSDT,4h,3,33.33,0.02,-0.90,-16.81,0.91,2160.00,success,
