strategy,symbol,interval,total_trades,win_rate,profit_factor,total_pnl_percent,max_drawdown_percent,sharpe_ratio,status
dca-grid-hybrid,SOLUSDT,4h,0,0,0,0,0,0,no_trades
dca-grid-hybrid,SOLUSDT,1d,0,0,0,0,0,0,no_trades
dca-grid-hybrid,SOLUSDT,1w,0,0,0,0,0,0,no_trades
dca-grid-hybrid,XRPUSDT,1h,0,0,0,0,0,0,no_trades
dca-grid-hybrid,XRPUSDT,4h,0,0,0,0,0,0,no_trades
dca-grid-hybrid,XRPUSDT,1d,0,0,0,0,0,0,no_trades
dca-grid-hybrid,XRPUSDT,1w,0,0,0,0,0,0,no_trades
dema-crossover-crypto,BTCUSDT,1h,139,38.85,0.54,-14.31,14.59,0,completed
dema-crossover-crypto,BTCUSDT,4h,64,45.31,0.54,-8.59,8.59,0,completed
dema-crossover-crypto,BTCUSDT,1d,9,33.33,0.31,-2.23,2.96,0,completed
dema-crossover-crypto,BTCUSDT,1w,2,100.00,Infinity,1.00,0.00,0,completed
dema-crossover-crypto,ETHUSDT,1h,144,33.33,0.36,-18.67,19.20,0,completed
dema-crossover-crypto,ETHUSDT,4h,54,53.70,0.61,-7.52,8.59,0,completed
dema-crossover-crypto,ETHUSDT,1d,11,45.45,0.50,-2.81,2.81,0,completed
dema-crossover-crypto,ETHUSDT,1w,2,50.00,0.28,-2.66,3.64,0,completed
dema-crossover-crypto,SOLUSDT,1h,157,42.68,0.59,-16.78,17.15,0,completed
dema-crossover-crypto,SOLUSDT,4h,57,56.14,1.03,-2.06,4.40,0,completed
dema-crossover-crypto,SOLUSDT,1d,13,38.46,0.38,-5.62,5.62,0,completed
dema-crossover-crypto,SOLUSDT,1w,2,100.00,Infinity,2.19,0.00,0,completed
dema-crossover-crypto,XRPUSDT,1h,167,36.53,0.40,-24.13,25.73,0,completed
dema-crossover-crypto,XRPUSDT,4h,62,50.00,0.84,-4.81,5.45,0,completed
dema-crossover-crypto,XRPUSDT,1d,11,45.45,0.71,-2.21,4.51,0,completed
dema-crossover-crypto,XRPUSDT,1w,3,33.33,0.16,-5.72,5.72,0,completed
divergence-rsi-macd,BTCUSDT,1h,223,46.64,0.82,-15.50,16.74,0,completed
divergence-rsi-macd,BTCUSDT,4h,78,53.85,1.30,-0.04,9.57,0,completed
divergence-rsi-macd,BTCUSDT,1d,25,48.00,0.89,-2.06,5.60,0,completed
divergence-rsi-macd,BTCUSDT,1w,3,66.67,1.90,1.99,2.31,0,completed
divergence-rsi-macd,ETHUSDT,1h,206,36.89,0.50,-23.86,25.13,0,completed
divergence-rsi-macd,ETHUSDT,4h,76,61.84,1.14,-1.49,4.57,0,completed
divergence-rsi-macd,ETHUSDT,1d,32,53.13,0.62,-6.73,6.73,0,completed
divergence-rsi-macd,ETHUSDT,1w,0,0,0,0,0,0,no_trades
divergence-rsi-macd,SOLUSDT,1h,248,52.02,1.03,-10.34,16.55,0,completed
divergence-rsi-macd,SOLUSDT,4h,94,44.68,0.76,-11.84,17.45,0,completed
divergence-rsi-macd,SOLUSDT,1d,21,52.38,0.86,-2.08,6.89,0,completed
